Title_of_the_Review,Review_of_the_movie
Visuals compensate for the lack of script depth,"One again the studio brings jokes and the dazzling visuals over a good character development. After one hour, you don't care for the characters. Dysfunctional drama in the family and the chosen one - we have seen this a million times.

This is the first time I felt sleepy for an action movie. I feel like i wasted my money, despite availing the Super Tuesday offer. The Suicide Squad was far much better in terms of storyboard.

Over-rated, like Black Panther What's next - Shang-Chi: Origins?"
Is it over yet,"I watched the movie in real 3D, the 3D part was wonderful, but that's where the Wonder ends. The storyline was, well there was no storyline. There was no depth to the characters, 2 hours into the movie I was hoping that it would just be over already. Very disappointing movie."
Great visuals but horrid storyline.,This is well done as far as special effects but the plot is so boring I couldn't take it and left in the middle of the film.
more of a childrens movie,"I enjoyed the idea, going for a crouching tiger, hidden dragon vibe but it just lacked authenticity. Really bad over acting and cheesy action with dated CGI i swapped over to listening to music while watching it and i enjoyed it much better."
Shang Chi was disappointing,
Amazing,Shang-Chi was honestly amazing. The cinematic experience was great and the story and plot of the movie was very good too. I am a huge marvel fan and it makes me happy to see that they are branching out to different types of hero's from all types of backgrounds. To sum up my review I really enjoyed it and highly recommend. (stay for the credits to the end)
Pretty but still yet another paint-by-number Marvel rubbish,"The movie looks great but...the story and how it is being moved forward is so predictable I could almost call out every 'event' before they even happened.

Marvel is a in a creative rut. Every movie they put out is 'pretty and shallow'. I mean, I like empty calories as much as the next person - but that doesn't mean I can sit and eat a pound of it - which is exactly what watching a Marvel movie translates to.

2/10.

Wish I had watching something completely different."
Good VFX but incoherent and cliché,
Absolutely shocking,"Awful film I wish I could get my money back, waste of time just awful."
Boring,"I was really hoping to like Shang-Chi but I couldn't because of mainly three reasons: the first one is the most severe and it is the fact that I found myself very bored, especially in the last hour. I spent that time hoping that I could have the ability to skip 10 second at will like on YouTube. The second problem is the fact that Shang-Chi itself is not an interesting character as far as this movie treats him. He surely has potential and it is clear that Marvel will be high on him in the future and I still have hope but in this movie I think I preferred at least four characters more than him and he is the protagonist. And finally the plot has various holes, especially regarding the Ten Rings as a criminal organization. The visuals and the action are good but it wasn't enough for me to like this movie.

PS: the mid-credit scene is the best of the movie, really liked that one."
Not as Good as Some Reviews Say,Overall it's nothing new or very creative. I have no idea why some people pretend like it's new coming of movies. It's not. It's meh at best. Wait for streaming!
Absolute Banger!,"That was a freakin' blast! The story is complex and interesting it fills some gaps in the MCU and simultaneously is a great origin story for the character of Shang-Chi.

The whole cast is amazing, I mean there is so much chemistry between them. Simu Liu and Tony Leung are phenomenal in their respective roles. The Mandarin tho...so well created character.

The movie is amazing bridge between East and West culture. There is so much to explore, much like Wakanda. The history of Shang's culture is so rich.

The fight choreography is absolute kick in the gutts...in a good way. I mean this is something completely new for the MCU and they deliver it again! Everything looks so goddamn good and I can't help myself thinking about some scenes! Also, the colors, the effects, the camera work and etc. Everything is magnificent.

There is humor for sure, but there is also emotional impact. This is not some bland action packed movie, it's made with heart from fans for the fans. Kudos to the director Destin Cretton!

Killer soundtrack and the main song for the movie ""Run It"" fits so good with all.

There are a few surprises, that were hidden from the promos and trailers and man...just wait to see them.

About the credit scenes...they are two, both are good, but one of them is...SICK!

For sure deserves more than one viewing in the cinema, so much story building, details, action, fun. The people who underestimated this movie will be so surprised how great is it."
